Profit & Loss,,,,,,,,,,,,
Company 3,,,,,,,,,,,,
,Oct 2020,Nov 2020,Variance ($),Variance (%),,,,,,,,
Revenue,,,,,,,,,,,,
AdC Revenue,,,,,,,,,,,,
Commission Markup - Affiliate Sales (AC),"$336,195","$320,685","($15,510)",-4.61%,,,,,,,,
Distributor Income - Affiliate Sales (AC),"$3,668,510","$3,486,348","($182,162)",-4.97%,,,,,,,,
Partner Sales (AC),"$66,522","$81,679","$15,156",22.78%,,,,,,,,
Total AdC Revenue,"$4,071,227","$3,888,712","($182,516)",-4.48%,,,,,,,,
AdSurge Revenue,,,,,,,,,,,,
Adsurge Revenue,"$359,641","$534,845","$175,204",48.72%,,,,,,,,
Total Revenue,"$4,430,868","$4,423,557","($7,311)",-0.17%,,,,,,,,
Cost of Sales,,,,,,,,,,,,
AdCenter Costs,,,,,,,,,,,,
ADC MEDIA BUY,"$49,822","$93,858","$44,036",88.39%,,,,,,,,
AFFILIATES COSTS,"$3,668,510","$3,486,348","($182,162)",-4.97%,,,,,,,,
Total AdCenter Costs,"$3,718,332","$3,580,206","($138,126)",-3.71%,,,,,,,,
AdSurge Costs,,,,,,,,,,,,
ADSUR MEDIA BUY,"$187,643","$234,082","$46,438",24.75%,,,,,,,,
Total Cost of Sales,"$3,905,975","$3,814,287","($91,687)",-2.35%,,,,,,,,
Gross Profit Before Depreciation,"$524,893","$609,269","$84,376",16.07%,,,,,,,,
Expenses,,,,,,,,,,,,
Admin Expenses,,,,,,,,,,,,
JOB POSTING,"$1,925","$1,944",$19,0.98%,,,,,,,,
INSURANCE,$64,$64,$1,0.97%,,,,,,,,
ADP ADMIN FEE,$857,$800,($57),-6.63%,,,,,,,,
TRAINING,"($2,035)",$544,"$2,579",126.75%,,,,,,,,
Collective Service Re-Distribution,"$135,253","$117,459","($17,794)",-13.16%,,,,,,,,
LEGAL,"$1,945",$0,"($1,945)",-100.0%,,,,,,,,
PSB BOISJOLI,$0,$853,$853,,,,,,,,,
Total Admin Expenses,"$138,009","$121,665","($16,344)",-11.84%,,,,,,,,
Employee Compensation,,,,,,,,,,,,
NET SALARY,"$70,995","$73,257","$2,262",3.19%,,,,,,,,
CONTRACTOR,$996,$996,$0,0.03%,,,,,,,,
BONUS,"$24,453","$24,143",($311),-1.27%,,,,,,,,
VACATION,"$10,012","$4,743","($5,269)",-52.63%,,,,,,,,
GROUP INSURANCE - EE,"$1,624","$1,609",($14),-0.89%,,,,,,,,
Total Employee Compensation,"$108,079","$104,747","($3,332)",-3.08%,,,,,,,,
Employer Contribution,,,,,,,,,,,,
GROUP INSURANCE -ER,"$1,444","$1,790",$345,23.9%,,,,,,,,
CNT EXPENSE,$74,$28,($47),-62.78%,,,,,,,,
CSST EXPENSE,$541,$202,($339),-62.71%,,,,,,,,
QHSF EXPENSE,"$7,156","$3,407","($3,749)",-52.39%,,,,,,,,
EI - ER,$608,$237,($371),-61.01%,,,,,,,,
QPIP -ER,$745,$288,($456),-61.29%,,,,,,,,
QPP - ER,"$2,343",$813,"($1,530)",-65.31%,,,,,,,,
Total Employer Contribution,"$12,910","$6,764","($6,147)",-47.61%,,,,,,,,
Professional Fees,,,,,,,,,,,,
PRO FEES - IT,$676,$341,($335),-49.51%,,,,,,,,
Office Expenses,,,,,,,,,,,,
